REGIONID,DATE,DEMAND,GENERATION,RRP
NSW1,2023-03-19,8211.04857638889,7249.604513888889,142.31104166666668
NSW1,2023-03-20,7863.825381944444,7037.784826388889,76.15937500000001
NSW1,2023-03-21,7516.712256944444,7247.612499999999,98.79645833333333
NSW1,2023-03-22,7539.944618055555,7163.069097222222,104.55079861111112
NSW1,2023-03-23,7738.376041666666,7206.360243055556,115.60552083333333
NSW1,2023-03-24,7356.040312499999,6687.544861111111,95.78548611111111
NSW1,2023-03-25,7082.7953472222225,6328.653020833333,79.18114583333335
NSW1,2023-03-26,6803.4753125,6270.780138888888,98.25805555555556
NSW1,2023-03-27,7680.478923611112,7323.125,141.48527777777778
NSW1,2023-03-28,7740.625312499999,7462.708194444444,150.65590277777778
NSW1,2023-03-29,7515.137326388888,7521.627465277777,102.20427083333334
NSW1,2023-03-30,6857.575937500001,6937.085763888888,97.0489236111111
